,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREE,OWNER2,ROUTE,MILEPOINT,DESCRIPTIO,TIMES,OWNER,TYPE,INTID,ATMSID,geometry
236,237,MPW012963,SIG012963,LYNDON,LA GRANGE,S,KY-2050,0.27,LYNDON @ LA GRANGE,24 HOURS,KYTC,1,22812774370,,POINT (-85.6069556953987 38.262045573065485)
237,238,MPW011095,SIG011095,HUBBARDS,SHELBYVILLE,S,US-60,4.41,HUBBARDS @ SHELBYVILLE,24 HOURS,KYTC,1,25903008594,,POINT (-85.6399980059177 38.2516485389406)
238,239,MPW010665,SIG010665,BROWNS,SHELBYVILLE,S,US-60,4.04,BROWNS @ SHELBYVILLE,24 HOURS,KYTC,1,26010723594,,POINT (-85.6472732985666 38.2522455155441)
239,240,MPW016343,SIG016343,MAIN,MADISON,MT,,,MAIN @ MADISON,24 HOURS,MIDDLETOWN,1,27694136998,,POINT (-85.53967546110506 38.245350441139365)
240,241,MPW010637,SIG010637,BRECKENRIDGE,WINCHESTER,S,KY-1932,4.74,BRECKENRIDGE @ WINCHESTER,24 HOURS,KYTC,1,27840656722,,POINT (-85.64772534792614 38.243477618781036)
241,242,MPW009997,SIG009997,CANNONS,I 64 RAMP,S,KY-2048,1.325,CANNONS @ I 64 RAMP,24 HOURS,KYTC,1,29100936999,,POINT (-85.65879856728615 38.23644955268582)
242,243,MPW014945,SIG014945,BUNSEN PKY,PLANTSIDE DR,JT,,,BUNSEN PKY @ PLANTSIDE DR,24 HOURS,JEFFERSONTOWN,1,46040763887,,POINT (-85.57236781602161 38.216596382936565)
243,244,MPW010949,SIG010949,BROWNS,WINCHESTER,M,,,BROWNS @ WINCHESTER,24 HOURS,METRO,1,46420723722,,POINT (-85.64246382783757 38.24612613354503)
244,245,MPW011388,SIG011388,BROWNS,SHERBURN,M,,,BROWNS @ SHERBURN,24 HOURS,METRO,1,46680723595,,POINT (-85.63403868989182 38.23915602623283)
245,246,MPW011533,SIG011533,BRECKENRIDGE,TAYLORSVILLE,S,KY-155,13.59,BRECKENRIDGE @ TAYLORSVILLE,24 HOURS,KYTC,1,51880656639,,POINT (-85.6305074649298 38.22015762339004)
246,247,MPW011577,SIG011577,BROWNS,DUTCHMANS,M,,,BROWNS @ DUTCHMANS,24 HOURS,METRO,1,53150723171,,POINT (-85.62982080611 38.23604024069814)
247,248,MPW011495,SIG011495,DUTCHMANS,DUPONT,M,,,DUTCHMANS @ DUPONT,24 HOURS,METRO,1,53171717174,,POINT (-85.63166933561303 38.234552455280635)
248,249,MPW011024,SIG011024,BRECKENRIDGE,DUTCHMANS,S,KY-1932,4.05,BRECKENRIDGE @ DUTCHMANS,24 HOURS,KYTC,1,53190656171,,POINT (-85.6408173189699 38.23492926242806)
249,250,MPW016385,SIG016385,BALLARDSVILLE,MURPHY,S,KY-22,5.64,BALLARDSVILLE @ MURPHY,24 HOURS,KYTC,1,54050364449,,POINT (-85.53952773939417 38.31769309356982)
250,251,MPW013874,SIG013874,TAYLORSVILLE,HURSTBOURNE,S,KY-155,11.4,TAYLORSVILLE @ HURSTBOURNE,24 HOURS,KYTC,1,56126394912,,POINT (-85.59107816796984 38.21551784972316)
251,252,MPW013608,SIG013608,HURSTBOURNE,GREENE,S,KY-1747,10.68,HURSTBOURNE @ GREENE,24 HOURS,KYTC,1,56199126935,,POINT (-85.59564263902003 38.21201710460298)
252,253,MPW014109,SIG014109,SIX MILE,TAYLORSVILLE,S,KY-155,11.03,SIX MILE @ TAYLORSVILLE,24 HOURS,KYTC,1,56256005639,,POINT (-85.58681371395619 38.21157457848842)
253,254,MPW010439,SIG010439,CANNONS,DUTCHMANS,S,KY-2048,0.485,CANNONS @ DUTCHMANS,24 HOURS,KYTC,1,61790936171,,POINT (-85.65058112471678 38.22597555389573)
254,255,MPW010207,SIG010207,TAYLORSVILLE,I 264 RAMP,S,KY-155,14.88,TAYLORSVILLE @ I 264 RAMP,24 HOURS,KYTC,1,61816394999,,POINT (-85.65444956097072 38.22179301953342)
255,256,MPW015687,SIG015687,LA FONTENAY,MOSER,S,US-60,8.83,LA FONTENAY @ MOSER,24 HOURS,KYTC,1,67883132447,,POINT (-85.55921300525941 38.245055036085375)
256,257,MPW016774,SIG016774,TAYLORSVILLE,TUCKER STATION,S,KY 155,7.588,TAYLORSVILLE @ TUCKER STATION,24 HOURS,KYTC,1,80346394655,,POINT (-85.52383974280835 38.18705808615146)
257,258,MPW017689,SIG017689,DRY RIDGE,NAPIER,M,,,DRY RIDGE @ NAPIER,24 HOURS,METRO,1,80911689747,,POINT (-85.44226135650564 38.119623363512915)
258,259,MPW016958,SIG016958,STONE LAKES,TAYLORSVILLE,S,KY-155,6.45,STONE LAKES @ TAYLORSVILLE,24 HOURS,KYTC,1,81591402639,,POINT (-85.51602478556511 38.18776091924786)
259,260,MPW014304,SIG014304,BARDSTOWN,I 265 RAMP,S,US-31E,7.77,BARDSTOWN @ I 265 RAMP,24 HOURS,KYTC,1,82180384999,,POINT (-85.5822138751519 38.13952040939594)
260,261,MPW011671,SIG011671,BARDSTOWN,BRECKENRIDGE,S,US-31E,8.69,BARDSTOWN @ BRECKENRIDGE,24 HOURS,KYTC,1,2,,POINT (-85.62685613976608 38.18121200579495)
261,262,MPW009882,SIG009882,RANGELAND,SHEPHERDSVILLE,S,KY-2052,1.78,RANGELAND @ SHEPHERDSVILLE,24 HOURS,KYTC,1,2,,POINT (-85.65985758357438 38.164399895617755)
262,263,MPW011741,SIG011741,REDDING,MEADOW RIDGE,S,KY-1932,0.6,REDDING @ MEADOW RIDGE,24 HOURS,KYTC,1,108235437990,,POINT (-85.62581812651241 38.189882140324556)
263,264,MPW014034,SIG014034,BARDSTOWN,BEULAH CHURCH,S,US-31E,5.5,BARDSTOWN @ BEULAH CHURCH,24 HOURS,KYTC,1,115710384051,,POINT (-85.5872554780658 38.14994549914227)
264,265,MPW010847,SIG010847,OUTER LOOP,SMYRNA PKWY,S,KY-1065,8.52,OUTER LOOP @ SMYRNA PKWY,24 HOURS,KYTC,1,115954632602,,POINT (-85.64189798169592 38.137958438887324)
265,266,MPW012917,SIG012917,WATTERSON,HURSTBOURNE,S,KY-1747,8.52,WATTERSON @ HURSTBOURNE,24 HOURS,KYTC,1,118397355912,,POINT (-85.60668841563862 38.183498035075864)
266,267,MPW008552,SIG008552,NEWBURG,I 264 RAMP,S,KY-1703,2.2,NEWBURG @ I 264 RAMP,24 HOURS,KYTC,1,121184552999,,POINT (-85.68771397627414 38.20147843088182)
267,268,MPW008812,SIG008812,INDIAN HILLS,RIVER,M,,,INDIAN HILLS @ RIVER,24 HOURS,METRO,1,121473154819,,POINT (-85.68253563958747 38.289661069407785)
268,269,MPW004618,SIG004618,BANK,17TH,M,,,BANK @ 17TH,24 HOURS,METRO,1,124930370589,,POINT (-85.77745168052091 38.26200649635423)
269,270,MPW003581,SIG003581,MAIN,26TH,M,,,MAIN @ 26TH,24 HOURS,METRO,1,125394139658,,POINT (-85.79357098591996 38.26073792418336)
270,271,MPW003574,SIG003574,MARKET,26TH,M,,,MARKET @ 26TH,24 HOURS,METRO,1,125984214658,,POINT (-85.79373729561051 38.259508433609)
271,272,MPW004105,SIG004105,MARKET,DR W J HODGE,S,US 31W,20.401,MARKET @ DR W J HODGE,24 HOURS,KYTC,1,126494214657,,POINT (-85.78491149276861 38.258358491419244)
272,273,MPW003992,SIG003992,JEFFERSON,22ND,S,US-31W,20.112000000000002,JEFFERSON @ 22ND,24 HOURS,KYTC,1,127043327658,,POINT (-85.78681419500616 38.25714754471261)
273,274,MPW003968,SIG003968,22ND,MUHAMMAD ALI,S,US-31W,19.923000000000002,22ND @ MUHAMMAD ALI,24 HOURS,KYTC,1,128036580701,,POINT (-85.7872922175691 38.25443160311975)
274,275,MPW004615,SIG004615,16TH,MUHAMMAD ALI,M,,,16TH @ MUHAMMAD ALI,24 HOURS,METRO,1,128456007701,,POINT (-85.77735271148026 38.25332682087186)
275,276,MPW002814,SIG002814,BROADWAY,LOUIS COLEMAN JR,M,,,BROADWAY @ LOUIS COLEMAN JR,24 HOURS,METRO,1,129600702E985,,POINT (-85.80820403999338 38.24988451914121)
276,277,MPW002933,SIG002933,BROADWAY,32ND,M,,,BROADWAY @ 32ND,24 HOURS,METRO,1,129640702645,,POINT (-85.80574568657947 38.249823572271765)
277,278,MPW004430,SIG004430,BROADWAY,17TH,S,US 150,1.192,BROADWAY @ 17TH,24 HOURS,KYTC,1,130080702589,,POINT (-85.77985461203521 38.2487137922036)
278,279,MPW004545,SIG004545,BROADWAY,16TH,S,US 150,1.283,BROADWAY @ 16TH,24 HOURS,KYTC,1,130200702600,,POINT (-85.77821209155697 38.248485032736525)
279,280,MPW005047,SIG005047,BROADWAY,11TH,S,US 150,1.72,BROADWAY @ 11TH,24 HOURS,KYTC,1,130530702189,,POINT (-85.76994381292205 38.24733560779274)
280,281,MPW005545,SIG005545,6TH,YORK,M,,,6TH @ YORK,24 HOURS,METRO,1,131256009743,,POINT (-85.76202586403119 38.24455829944011)
281,282,MPW005826,SIG005826,2ND,YORK,S,KY-1020,11.996,2ND @ YORK,24 HOURS,KYTC,1,131525872743,,POINT (-85.75540666642848 38.24382367885247)
282,283,MPW003859,SIG003859,OAK,DR W J HODGE,S,US-31W,18.830000000000002,OAK @ DR W J HODGE,24 HOURS,KYTC,1,133344719657,,POINT (-85.78860955924344 38.23731110420637)
283,284,MPW005782,SIG005782,ST CATHERINE,2ND,S,KY-1020,11.507,ST CATHERINE @ 2ND,24 HOURS,KYTC,1,133665786587,,POINT (-85.75659447309148 38.237060513384314)
284,285,MPW004209,SIG004209,DUMESNIL,17TH,M,,,DUMESNIL @ 17TH,24 HOURS,METRO,1,133941698589,,POINT (-85.78302007157315 38.236017952127554)
285,286,MPW005690,SIG005690,OAK,3RD,S,KY-1020,11.316,OAK @ 3RD,24 HOURS,KYTC,1,134464719643,,POINT (-85.75867136115735 38.23487332757655)
286,287,MPW005871,SIG005871,BROOK,OAK,M,,,BROOK @ OAK,24 HOURS,METRO,1,134630707471,,POINT (-85.75367882938087 38.2344181476092)
287,288,MPW005967,SIG005967,FLOYD,OAK,M,,,FLOYD @ OAK,24 HOURS,METRO,1,134692254471,,POINT (-85.75166023901639 38.234231453095504)
288,289,MPW005597,SIG005597,4TH,ORMSBY,M,,,4TH @ ORMSBY,24 HOURS,METRO,1,135222305480,,POINT (-85.76070742539234 38.23286377249743)
289,290,MPW005858,SIG005858,BROOK,ORMSBY,M,,,BROOK @ ORMSBY,24 HOURS,METRO,1,135780707480,,POINT (-85.75416555080595 38.231670482384864)
290,291,MPW005086,SIG005086,HILL,7TH,M,,,HILL @ 7TH,24 HOURS,METRO,1,137232934589,,POINT (-85.76900432411863 38.22676797769523)
291,292,MPW002931,SIG002931,ALGONQUIN,BEECH,S,KY-2054,0.95,ALGONQUIN @ BEECH,24 HOURS,KYTC,1,138080061045,,POINT (-85.80523355026824 38.224074244038796)
292,293,MPW003602,SIG003602,ALGONQUIN,DIXIE,S,KY-2054,1.64,ALGONQUIN @ DIXIE,24 HOURS,KYTC,1,138580061161,,POINT (-85.79250953506273 38.22316977819135)
293,294,MPW005669,SIG005669,LEE,2ND,S,KY-1020,10.513,LEE @ 2ND,24 HOURS,KYTC,1,138903797587,,POINT (-85.75905916086452 38.22303570563407)
294,295,MPW007511,SIG007511,NEWBURG,SPEED,S,KY-1703,4.287,NEWBURG @ SPEED,24 HOURS,KYTC,1,139224552608,,POINT (-85.7106760575471 38.222977709051584)
295,296,MPW008997,SIG008997,BARDSTOWN,TYLER,S,US-31E,12.593,BARDSTOWN @ TYLER,24 HOURS,KYTC,1,141280384659,,POINT (-85.67742130855513 38.217813276606364)
296,297,MPW004191,SIG004191,CENTRAL,7TH STREET,S,KY-1931,10.040000000000001,CENTRAL @ 7TH STREET,24 HOURS,KYTC,1,141831041590,,POINT (-85.78292670456148 38.21482560149127)
297,298,MPW002721,SIG002721,LOUIS COLEMAN JR,DUMESNIL,M,,,LOUIS COLEMAN JR @ DUMESNIL,24 HOURS,METRO,1,28198E9851698,,POINT (-85.81050455089883 38.23765565629045)
298,299,MPW017023,SIG017023,PARK PLACE,SHELBYVILLE,S,US-60,10.92,PARK PLACE @ SHELBYVILLE,24 HOURS,KYTC,1,4892018594,,POINT (-85.51219036359332 38.2428461931047)
299,300,MPW017003,SIG017003,LA GRANGE,I 265 RAMP,S,KY-146,7.28,LA GRANGE @ I 265 RAMP,24 HOURS,KYTC,1,10493707999,,POINT (-85.51465820157759 38.28453614627394)
300,301,MPW017013,SIG017013,AIKEN,ENGLISH STATION,M,,,AIKEN @ ENGLISH STATION,24 HOURS,METRO,1,10660032940,,POINT (-85.51346377116047 38.253369242347325)
301,302,MPW017340,SIG017340,OLD HENRY,BUSH FARM,S,KY-3084,1.79,OLD HENRY @ BUSH FARM,24 HOURS,KYTC,1,11314756D13,,POINT (-85.4905253368757 38.274150614483794)
302,303,MPW017155,SIG017155,SHELBYVILLE,I 265 RAMP,S,US-60,12.07,SHELBYVILLE @ I 265 RAMP,24 HOURS,KYTC,1,12255940999,,POINT (-85.50240457659109 38.24191492217235)
303,304,MPW012737,SIG012737,HUNTING CREEK,U S HIGHWAY 42,S,US-42,11.05,HUNTING CREEK @ U S HIGHWAY 42,24 HOURS,KYTC,1,13983026671,,POINT (-85.6129958792423 38.35228272446397)
304,305,MPW011135,SIG011135,HUBBARDS,LEDYARD,M,,,HUBBARDS @ LEDYARD,24 HOURS,METRO,1,23843007379,,POINT (-85.6394382458322 38.25712513310756)
