,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREE,OWNER2,ROUTE,MILEPOINT,DESCRIPTIO,TIMES,OWNER,TYPE,INTID,ATMSID,geometry
587,588,MPW018017,SIG018017,I 64 WEST,I 64 RAMP,M,,,I 64 WEST @ I 64 RAMP,24 HOURS,METRO,3,155879954999,,POINT (-85.7339267970288 38.26256386953502)
588,589,MPW005584,SIG005584,CHESTNUT,6TH,M,,,CHESTNUT @ 6TH,24 HOURS,METRO,1,156171114600,,POINT (-85.76119201932299 38.24931689203255)
589,590,MPW005742,SIG005742,CHESTNUT,4TH,M,,,CHESTNUT @ 4TH,24 HOURS,METRO,1,156211114230,,POINT (-85.75787724146004 38.24895232964715)
590,591,MPW008614,SIG008614,BISHOP,NEWBURG,S,KY-1703,2.09,BISHOP @ NEWBURG,24 HOURS,KYTC,1,156740540455,,POINT (-85.68595808145335 38.20083442789977)
591,592,MPW006321,SIG006321,EASTERN,PRESTON,S,KY-61,4.549,EASTERN @ PRESTON,24 HOURS,KYTC,1,157301835514,,POINT (-85.74311511232342 38.214598896335616)
592,593,MPW003171,SIG003171,BERRY,MANSLICK,S,US-60,0.588,BERRY @ MANSLICK,24 HOURS,KYTC,1,157760505416,,POINT (-85.79907314452268 38.19675119065786)
593,594,MPW008727,SIG008727,FRANKFORT,HILLCREST,S,US-60,1.979,FRANKFORT @ HILLCREST,24 HOURS,KYTC,1,158112323293,,POINT (-85.68428093878563 38.25458907298535)
594,595,MPW007250,SIG007250,CHEROKEE,PATTERSON,M,,,CHEROKEE @ PATTERSON,24 HOURS,METRO,1,160451100498,,POINT (-85.7176792382546 38.23814970748611)
595,596,MPW006214,SIG006214,MARKET,PRESTON,S,US 31W,17.375,MARKET @ PRESTON,24 HOURS,KYTC,1,163804213514,,POINT (-85.74610345427801 38.25407115944981)
596,597,MPW006274,SIG006274,JACKSON,MUHAMMAD ALI,S,KY-61,12.611,JACKSON @ MUHAMMAD ALI,24 HOURS,KYTC,1,164113292701,,POINT (-85.74480100621139 38.24976333701986)
597,598,MPW006006,SIG006006,BROOK,GRAY,M,,,BROOK @ GRAY,24 HOURS,METRO,1,164460707262,,POINT (-85.75148311845996 38.24692987478131)
598,599,MPW006546,SIG006546,CHESTNUT,SHELBY,M,,,CHESTNUT @ SHELBY,24 HOURS,METRO,1,164481113593,,POINT (-85.73913170826252 38.24692015139842)
599,600,MPW007555,SIG007555,BROWNSBORO,HALDEMAN,S,US-42,1.368,BROWNSBORO @ HALDEMAN,24 HOURS,KYTC,1,165630724278,,POINT (-85.71047100822521 38.259515710265916)
600,601,MPW005160,SIG005160,KENTUCKY,9TH,M,,,KENTUCKY @ 9TH,24 HOURS,METRO,1,166563532456,,POINT (-85.76790591846323 38.240391712025186)
601,602,MPW005498,SIG005498,KENTUCKY,6TH,M,,,KENTUCKY @ 6TH,24 HOURS,METRO,1,166593532600,,POINT (-85.76285042541848 38.23988169385773)
602,603,MPW005850,SIG005850,MAIN,3RD,S,US 31W,22.02,MAIN @ 3RD,24 HOURS,KYTC,1,166924139643,,POINT (-85.75487037815002 38.25645034644304)
603,604,MPW005664,SIG005664,MAIN,6TH,S,US 31W,21.75,MAIN @ 6TH,24 HOURS,KYTC,1,167064139600,,POINT (-85.75983870889482 38.25698751152173)
604,605,MPW005779,SIG005779,4TH,JEFFERSON,M,,,4TH @ JEFFERSON,24 HOURS,METRO,1,167262305332,,POINT (-85.75701883154768 38.25384337243628)
605,606,MPW005464,SIG005464,8TH,LIBERTY,M,,,8TH @ LIBERTY,24 HOURS,METRO,1,167281885384,,POINT (-85.76383645220957 38.25344237520722)
606,607,MPW006132,SIG006132,FLOYD,MARKET,S,US 31W,17.487000000000002,FLOYD @ MARKET,24 HOURS,KYTC,1,167652254421,,POINT (-85.74813540936036 38.254288853387195)
607,608,MPW006121,SIG006121,FLOYD,JEFFERSON,M,,,FLOYD @ JEFFERSON,24 HOURS,METRO,1,167712254332,,POINT (-85.74837934932404 38.25290292741549)
608,609,MPW005051,SIG005051,MARKET,12TH,S,US 31W,21.1,MARKET @ 12TH,24 HOURS,KYTC,1,167954214656,,POINT (-85.77001079887337 38.25669319693095)
609,610,MPW005268,SIG005268,MARKET,10TH,S,US 31W,21.282,MARKET @ 10TH,24 HOURS,KYTC,1,168614214641,,POINT (-85.76670434698678 38.25632885786813)
610,611,MPW005331,SIG005331,CHESTNUT,ROY WILKINS,M,,,CHESTNUT @ ROY WILKINS,24 HOURS,METRO,1,168721114620,,POINT (-85.76598743229425 38.24984976245547)
611,612,MPW005410,SIG005410,CHESTNUT,8TH,M,,,CHESTNUT @ 8TH,24 HOURS,METRO,1,168731114188,,POINT (-85.76449987595082 38.249681879635624)
612,613,MPW003153,SIG003153,PORTLAND,33RD,S,KY-3064,1.784,PORTLAND @ 33RD,24 HOURS,KYTC,1,171535129646,,POINT (-85.80095193930217 38.27494713057277)
613,614,MPW002749,SIG002749,BANK,38TH,S,KY-3082,0.0,BANK @ 38TH,24 HOURS,KYTC,1,171860370644,,POINT (-85.81065492510977 38.27196321103363)
614,615,MPW007866,SIG007866,BARDSTOWN,SPEED,S,US-31E,14.123000000000001,BARDSTOWN @ SPEED,24 HOURS,KYTC,1,172470384608,,POINT (-85.70106203297468 38.22845487869117)
615,616,MPW002193,SIG002193,CECIL,HALE,M,,,CECIL @ HALE,24 HOURS,METRO,1,174101026278,,POINT (-85.82161242295959 38.24145309859813)
616,617,MPW001663,SIG001663,CANE RUN,CRUMS,S,KY-1934,9.18,CANE RUN @ CRUMS,24 HOURS,KYTC,1,175880934135,,POINT (-85.83738716186775 38.199320737019384)
617,618,MPW001531,SIG001531,CRUMS,SHANKS,S,KY-1934,8.78,CRUMS @ SHANKS,24 HOURS,KYTC,1,176170307631,,POINT (-85.84257783053897 38.19538064175743)
618,619,MPW007125,SIG007125,GRADE,I 65 RAMP,S,I-65,0.0,GRADE @ I 65 RAMP,24 HOURS,KYTC,1,177692594999,,POINT (-85.72050390909284 38.1778683268374)
619,620,MPW008826,SIG008826,FERN VALLEY,GEIL,S,KY-1747,2.88,FERN VALLEY @ GEIL,24 HOURS,KYTC,1,2,,POINT (-85.67973918602357 38.15741628353368)
620,621,MPW007881,SIG007881,BISHOP,POPLAR LEVEL,S,KY-864,10.450000000000001,BISHOP @ POPLAR LEVEL,24 HOURS,KYTC,1,181650540512,,POINT (-85.6998736051861 38.18471637750693)
621,622,MPW005623,SIG005623,ALLMOND,WOODLAWN,M,,,ALLMOND @ WOODLAWN,24 HOURS,METRO,1,183730074729,,POINT (-85.75899375703165 38.1807898103782)
622,623,MPW004241,SIG004241,MARRET,NEW CUT,S,KY-1865,4.343,MARRET @ NEW CUT,24 HOURS,KYTC,1,185744222455,,POINT (-85.7812421264612 38.16982415485282)
623,624,MPW008539,SIG008539,OUTER,PRESTON,S,KY-61,3.95,OUTER @ PRESTON,24 HOURS,KYTC,1,192094815514,,POINT (-85.6867336990896 38.138426837654364)
624,625,MPW007321,SIG007321,MINOR,OUTER,S,KY-1065,4.56,MINOR @ OUTER,24 HOURS,KYTC,1,192514406481,,POINT (-85.71340970122755 38.13655367162765)
625,626,MPW003331,SIG003331,OUTER,3RD STREET,S,KY-907,4.66,OUTER @ 3RD STREET,24 HOURS,KYTC,1,194824815644,,POINT (-85.79476591408745 38.12758756332626)
626,627,MPW008903,SIG008903,MANSLICK,PRESTON,S,KY-61,2.45,MANSLICK @ PRESTON,24 HOURS,KYTC,1,196954165514,,POINT (-85.67725256598779 38.11806637716551)
627,628,MPW005873,SIG005873,NEVADA,OLD PARK,M,,,NEVADA @ OLD PARK,24 HOURS,METRO,1,201544548E15,,POINT (-85.75259181476034 38.18281387187634)
628,629,MPW003596,SIG003596,MANSLICK,PALATKA,S,KY-1142,0.635,MANSLICK @ PALATKA,24 HOURS,KYTC,1,202724163493,,POINT (-85.79109914899254 38.15286287738702)
629,630,MPW007662,SIG007662,POPLAR LEVEL,SANITA,S,KY-864,10.75,POPLAR LEVEL @ SANITA,24 HOURS,KYTC,1,204415123631,,POINT (-85.70606593279163 38.19266814252061)
630,631,MPW007579,SIG007579,INDUSTRIAL,ULRICH,S,KY-1747,1.33,INDUSTRIAL @ ULRICH,24 HOURS,KYTC,1,206483160670,,POINT (-85.70806273264351 38.15700807302507)
631,632,MPW007223,SIG007223,FERN VALLEY,I 65 RAMP,S,KY-1747,0.79,FERN VALLEY @ I 65 RAMP,24 HOURS,KYTC,1,206532190999,,POINT (-85.71689362605511 38.1575775522865)
632,633,MPW006971,SIG006971,FERN VALLEY,WORLDPORT,S,KY-1747,0.35,FERN VALLEY @ WORLDPORT,24 HOURS,KYTC,1,206562190F275,,POINT (-85.72573417633697 38.15769415373951)
633,634,MPW003075,SIG003075,MANSLICK RD,MANSLICK BLVD,S,KY-1931,8.1,MANSLICK RD @ MANSLICK BLVD,24 HOURS,KYTC,1,209183235416,,POINT (-85.80082366970878 38.19167514680512)
634,635,MPW005949,SIG005949,CRITTENDEN,PARK,S,KY-1631,0.3,CRITTENDEN @ PARK,24 HOURS,KYTC,1,210121342495,,POINT (-85.75093335973986 38.1922691031614)
635,636,MPW006007,SIG006007,NATIONAL,OUTER,S,KY-1065,2.51,NATIONAL @ OUTER,24 HOURS,KYTC,1,210604535481,,POINT (-85.74896666134771 38.12696121952837)
636,637,MPW018004,SIG018004,PRESTON,ST RITA,S,KY-61,3.16,PRESTON @ ST RITA,24 HOURS,KYTC,1,211465144581,,POINT (-85.68095023115335 38.127917347289795)
637,638,MPW001168,SIG001168,CANE RUN,LEES,S,KY-1934,7.78,CANE RUN @ LEES,24 HOURS,KYTC,1,213500934380,,POINT (-85.85528993872883 38.183843589760244)
638,639,MPW001710,SIG001710,GRASTON,UPPER HUNTERS,M,,,GRASTON @ UPPER HUNTERS,24 HOURS,METRO,1,216112621670,,POINT (-85.83531767399236 38.16828776814142)
639,640,MPW000814,SIG000814,LOWER HUNTERS,TERRY,S,KY-1727,3.03,LOWER HUNTERS @ TERRY,24 HOURS,KYTC,1,216903969664,,POINT (-85.86554792073296 38.16481022037285)
640,641,MPW001775,SIG001775,DIXIE,TRENT,S,US-31W,12.64,DIXIE @ TRENT,24 HOURS,KYTC,1,217361612652,,POINT (-85.83173860163426 38.16206006962793)
641,642,MPW000494,SIG000494,TERRY,PAGES,S,KY-1727,0.64,TERRY @ PAGES,24 HOURS,KYTC,1,221516641713,,POINT (-85.87423747702512 38.13102963991506)
642,643,MPW000076,SIG000076,CANE RUN,JOHNSONTOWN,S,KY-1934,2.3,CANE RUN @ JOHNSONTOWN,24 HOURS,KYTC,1,228200934335,,POINT (-85.89492491673724 38.11644988066343)
643,644,MPW002033,SIG002033,ARNOLDTOWN,ST ANDREWS CHURCH,S,KY-1931,4.11,ARNOLDTOWN @ ST ANDREWS CHURCH,24 HOURS,KYTC,1,229960170578,,POINT (-85.82408889373964 38.149545327503596)
644,645,MPW000477,SIG000477,BETHANY,DIXIE,S,US-31W,7.72,BETHANY @ DIXIE,24 HOURS,KYTC,1,232630514161,,POINT (-85.87389955205177 38.09566214140248)
645,646,MPW000113,SIG000113,DIXIE,WATSON,S,US-31W,4.81,DIXIE @ WATSON,24 HOURS,KYTC,1,233311612705,,POINT (-85.8906319021238 38.056182444334404)
646,647,MPW002140,SIG002140,DIXIE,GAGEL,S,US-31W,13.99,DIXIE @ GAGEL,24 HOURS,KYTC,1,236611612245,,POINT (-85.82156283748878 38.17584958093644)
647,648,MPW006672,SIG006672,CRITTENDEN,GRADE,M,,,CRITTENDEN @ GRADE,24 HOURS,METRO,1,249791342259,,POINT (-85.73389488742075 38.153278146130404)
648,649,MPW010948,SIG010948,FERN VALLEY,HURSTBOURNE,S,KY-1747,5.13,FERN VALLEY @ HURSTBOURNE,24 HOURS,KYTC,1,995882190912,,POINT (-85.64083620977307 38.1612182704668)
649,650,MPW007135,SIG007135,OUTER,AIR COMMERCE,S,KY-1065,4.2,OUTER @ AIR COMMERCE,24 HOURS,KYTC,1,995964815E72,,POINT (-85.71926553828443 38.13482027377135)
650,651,MPW018006,SIG018006,OUTER,AIR COMMERCE,S,KY-1065,3.8,OUTER @ AIR COMMERCE,24 HOURS,KYTC,1,995964815E72,,POINT (-85.72643454038983 38.132654497974215)
651,652,MPW014520,SIG014520,HURSTBOURNE,I 64 RAMP,S,KY-1747,11.83,HURSTBOURNE @ I 64 RAMP,24 HOURS,KYTC,1,2766291269997,,POINT (-85.57930029346356 38.22224774599584)
652,653,MPW005930,SIG005930,I 64 RAMP,RIVER,S,KY-3077,0.171,I 64 RAMP @ RIVER,24 HOURS,KYTC,1,2795599975529,,POINT (-85.7527395657684 38.25871796046387)
653,654,MPW017860,SIG017860,EL CONQUISTADOR,BRECKENRIDGE,S,KY-1932,2.538,EL CONQUISTADOR @ BRECKENRIDGE,24 HOURS,KYTC,1,2943536600656,,POINT (-85.62729657256051 38.21621601819249)
654,655,MPW017865,SIG017865,3RD,CENTENNIAL,S,KY-1020,10.1,3RD @ CENTENNIAL,24 HOURS,KYTC,1,295506438E928,,POINT (-85.76190575117492 38.21646784541884)
655,656,MPW017872,SIG017872,BRECKENRIDGE,DUTCHMANS,M,,,BRECKENRIDGE @ DUTCHMANS,24 HOURS,METRO,1,53230656171,,POINT (-85.63726754085224 38.232580250331395)
656,657,MPW018005,SIG018005,CHRISTIAN,SHELBYVILLE,S,US-60,6.3,CHRISTIAN @ SHELBYVILLE,24 HOURS,KYTC,1,59421789594,,POINT (-85.60530116376661 38.24873063316437)
657,658,MPW017875,SIG017875,BRECKENRIDGE,KRESGE,M,,,BRECKENRIDGE @ KRESGE,24 HOURS,METRO,1,78190656408,,POINT (-85.64123421192393 38.23828412074246)
658,659,MPW006983,SIG006983,BAXTER,BROADWAY,S,US-31E,15.901000000000002,BAXTER @ BROADWAY,24 HOURS,KYTC,1,155730417070,,POINT (-85.7270080529275 38.24374466522632)
659,660,MPW008603,SIG008603,BISHOP,GARDINER,M,,,BISHOP @ GARDINER,24 HOURS,METRO,1,156800540247,,POINT (-85.68631688705288 38.197874520522056)
660,661,MPW006396,SIG006396,CLARKS,PRESTON,S,KY-61,9.957,CLARKS @ PRESTON,24 HOURS,KYTC,1,157431158514,,POINT (-85.74154193587927 38.212977361760714)
661,662,MPW003037,SIG003037,NOBEL,7TH STREET,S,US-60A,0.4,NOBEL @ 7TH STREET,24 HOURS,KYTC,1,158053103590,,POINT (-85.80201656042436 38.19563428873225)
662,663,MPW007063,SIG007063,BARRET,CASTLEWOOD,M,,,BARRET @ CASTLEWOOD,24 HOURS,METRO,1,161010395100,,POINT (-85.72399813338376 38.231010740559086)
663,664,MPW005927,SIG005927,BRECKINRIDGE,BROOK,M,,,BRECKINRIDGE @ BROOK,24 HOURS,METRO,1,162770657070,,POINT (-85.75249514967697 38.241181400847516)
664,665,MPW006295,SIG006295,JACKSON,JEFFERSON,S,KY-61,12.798,JACKSON @ JEFFERSON,24 HOURS,KYTC,1,163893292332,,POINT (-85.74432805034591 38.25246254624337)
665,666,MPW006481,SIG006481,CLAY,LIBERTY,M,,,CLAY @ LIBERTY,24 HOURS,METRO,1,164011167384,,POINT (-85.74053178046157 38.25067923082809)
666,667,MPW005922,SIG005922,W CHESTNUT ST,S 1ST ST,M,,,W CHESTNUT ST @ S 1ST ST,24 HOURS,METRO,1,164261113111,,POINT (-85.75292153108927 38.248408660381685)
667,668,MPW006350,SIG006350,CHESTNUT,HANCOCK,M,,,CHESTNUT @ HANCOCK,24 HOURS,METRO,1,164421113279,,POINT (-85.74316260220118 38.24735856653199)
668,669,MPW006328,SIG006328,BROADWAY,HANCOCK,S,US 150,3.188,BROADWAY @ HANCOCK,24 HOURS,KYTC,1,164780701279,,POINT (-85.74357316627972 38.24499058122244)
669,670,MPW007207,SIG007207,FRANKFORT,MELLWOOD,S,US-42,0.805,FRANKFORT @ MELLWOOD,24 HOURS,KYTC,1,165672323432,,POINT (-85.7194768971306 38.257723533881254)
670,671,MPW005527,SIG005527,BRECKINRIDGE,6TH,M,,,BRECKINRIDGE @ 6TH,24 HOURS,METRO,1,166470658600,,POINT (-85.7624187246243 38.242352851389334)
671,672,MPW005487,SIG005487,8TH,MARKET,S,US 31W,21.484,8TH @ MARKET,24 HOURS,KYTC,1,167131885421,,POINT (-85.76339524523424 38.2559610269941)
672,673,MPW005628,SIG005628,LIBERTY,6TH,M,,,LIBERTY @ 6TH,24 HOURS,METRO,1,167293845600,,POINT (-85.76046970618478 38.25343567207759)
673,674,MPW005656,SIG005656,ARMORY,MUHAMMAD ALI,M,,,ARMORY @ MUHAMMAD ALI,24 HOURS,METRO,1,167430167701,,POINT (-85.75989895186902 38.25140438379196)
674,675,MPW005687,SIG005687,5TH,MUHAMMAD ALI,M,,,5TH @ MUHAMMAD ALI,24 HOURS,METRO,1,167442207701,,POINT (-85.75915420158965 38.251326469035185)
675,676,MPW006008,SIG006008,N 1ST ST,W MAIN ST,S,US 31W,17.789,N 1ST ST @ W MAIN ST,24 HOURS,KYTC,1,167592222222,,POINT (-85.75156524377597 38.25608213002603)
676,677,MPW006050,SIG006050,BROOK,LIBERTY,M,,,BROOK @ LIBERTY,24 HOURS,METRO,1,167740707384,,POINT (-85.75063244585101 38.25236248851681)
677,678,MPW006108,SIG006108,FLOYD,MUHAMMAD ALI,M,,,FLOYD @ MUHAMMAD ALI,24 HOURS,METRO,1,167822254701,,POINT (-85.74885259626144 38.25020386793264)
678,679,MPW005153,SIG005153,11TH,MARKET,S,US 31W,21.192,11TH @ MARKET,24 HOURS,KYTC,1,167961899421,,POINT (-85.76835344640516 38.25651169346048)
679,680,MPW005040,SIG005040,JEFFERSON,12TH,M,,,JEFFERSON @ 12TH,24 HOURS,METRO,1,168023327656,,POINT (-85.77025198797094 38.255299360305976)
680,681,MPW004882,SIG004882,CHESTNUT,13TH,M,,,CHESTNUT @ 13TH,24 HOURS,METRO,1,168331114644,,POINT (-85.7728039572795 38.25059967091892)
681,682,MPW002520,SIG002520,ALGONQUIN,35TH,S,KY-2054,1.208,ALGONQUIN @ 35TH,24 HOURS,KYTC,1,169530061644,,POINT (-85.81419828740216 38.22488470173512)
682,683,MPW002764,SIG002764,ALGONQUIN,CANE RUN,S,KY-2054,0.072,ALGONQUIN @ CANE RUN,24 HOURS,KYTC,1,169550061093,,POINT (-85.8093252542255 38.22440781769387)
683,684,MPW004214,SIG004214,BANK,22ND,S,US-150,0.25,BANK @ 22ND,24 HOURS,KYTC,1,171320370657,,POINT (-85.78356226493769 38.26656558626915)
684,685,MPW002851,SIG002851,37TH,I 264 RAMP,S,KY-3082,0.118,37TH @ I 264 RAMP,24 HOURS,KYTC,1,171836457999,,POINT (-85.807881367825 38.27214355769837)
685,686,MPW002007,SIG002007,BROADWAY,SOUTHWESTERN,M,,,BROADWAY @ SOUTHWESTERN,24 HOURS,METRO,1,173350702712,,POINT (-85.82697044242471 38.25053756718746)
686,687,MPW005052,SIG005052,SOUTHERN,WOODLAWN,S,KY-1020,7.837000000000001,SOUTHERN @ WOODLAWN,24 HOURS,KYTC,1,181916052729,,POINT (-85.76844225425633 38.18182329061038)
687,688,MPW003812,SIG003812,BLUEGRASS,HAZELWOOD,M,,,BLUEGRASS @ HAZELWOOD,24 HOURS,METRO,1,182350572286,,POINT (-85.78827120140784 38.179424697912246)
688,689,MPW007306,SIG007306,ORCHARD,PRESTON,S,KY-61,7.025,ORCHARD @ PRESTON,24 HOURS,KYTC,1,183584790514,,POINT (-85.71450651212541 38.17632919374615)
689,690,MPW008481,SIG008481,INDIAN,JEANINE,M,,,INDIAN @ JEANINE,24 HOURS,METRO,1,2,,POINT (-85.6886608936403 38.17071938419571)
690,691,MPW005287,SIG005287,ROCHESTER,SOUTHSIDE,S,KY-1020,6.865,ROCHESTER @ SOUTHSIDE,24 HOURS,KYTC,1,185875556606,,POINT (-85.76473540832947 38.16955255000239)
691,692,MPW007825,SIG007825,BENNETT,PRESTON,S,KY-61,6.08,BENNETT @ PRESTON,24 HOURS,KYTC,1,187530492514,,POINT (-85.70063323582141 38.162976138682936)
692,693,MPW003010,SIG003010,MANSLICK,PALATKA,S,KY-1931,5.48,MANSLICK @ PALATKA,24 HOURS,KYTC,1,188664163493,,POINT (-85.80194756510045 38.15540674293886)
693,694,MPW005371,SIG005371,SAM,OLDE NANTUCKET,M,,,SAM @ OLDE NANTUCKET,24 HOURS,METRO,1,190605817883,,POINT (-85.76283073629632 38.142988423884056)
694,695,MPW009033,SIG009033,BATES,JEFFERSON,M,,,BATES @ JEFFERSON,24 HOURS,METRO,1,191560410833,,POINT (-85.67500329993591 38.140138269812724)
695,696,MPW009026,SIG009026,OUTER,JEFFERSON,S,KY-1065,6.69,OUTER @ JEFFERSON,24 HOURS,KYTC,1,192264815833,,POINT (-85.67514901005204 38.13801337960597)
696,697,MPW008645,SIG008645,BLUE LICK,PRESTON,S,KY-61,3.62,BLUE LICK @ PRESTON,24 HOURS,KYTC,1,193330577514,,POINT (-85.68417066088023 38.13377420926451)
697,698,MPW008972,SIG008972,CHAMPIONS TRACE,NEWBURG,S,KY-1703,1.43,CHAMPIONS TRACE @ NEWBURG,24 HOURS,KYTC,1,201923804455,,POINT (-85.67738753926062 38.19381137905928)
698,699,MPW008817,SIG008817,MILES,COOPER VILLAGE,S,KY-61,2.91,MILES @ COOPER VILLAGE,24 HOURS,KYTC,1,206084379677,,POINT (-85.67922611167114 38.12436450746502)
699,700,MPW004448,SIG004448,NEW CUT,PARK,S,KY-1865,3.383,NEW CUT @ PARK,24 HOURS,KYTC,1,207614553496,,POINT (-85.77758342502281 38.15592415419985)
700,701,MPW008748,SIG008748,JENNINGS,PRODUCE,M,,,JENNINGS @ PRODUCE,24 HOURS,METRO,1,208463333516,,POINT (-85.68221719893597 38.18469112397029)
701,702,MPW002380,SIG002380,DIXIE,HEATON,S,US-31W,14.450000000000001,DIXIE @ HEATON,24 HOURS,KYTC,1,208911612286,,POINT (-85.8160519234434 38.18094131212839)
702,703,MPW004551,SIG004551,NEW CUT,OLD NEW CUT,S,KY1865,0.61,NEW CUT @ OLD NEW CUT,24 HOURS,KYTC,1,211374553D66,,POINT (-85.77537314721708 38.11762512259274)
703,704,MPW001633,SIG001633,STONESTREET,3RD STREET,S,KY-907,1.92,STONESTREET @ 3RD STREET,24 HOURS,KYTC,1,224016179644,,POINT (-85.83699162773581 38.113011903045276)
704,705,MPW018011,SIG018011,DIXIE,VESPER,S,US-31W,8.42,DIXIE @ VESPER,24 HOURS,KYTC,1,230941612690,,POINT (-85.86846755384607 38.104910170067626)
705,706,MPW000312,SIG000312,DIXIE,FLOWERVALE,S,US-31W,6.9,DIXIE @ FLOWERVALE,24 HOURS,KYTC,1,233851612225,,POINT (-85.8798391640319 38.085390126068475)
706,707,MPW000438,SIG000438,DIXIE,GREENBELT RAMP,S,US-31W,7.350000000000001,DIXIE @ GREENBELT RAMP,24 HOURS,KYTC,1,240231612D78,,POINT (-85.87498888994685 38.093747227967995)
707,708,MPW013727,SIG013727,HURSTBOURNE,SHANE,S,KY-1747,10.82,HURSTBOURNE @ SHANE,24 HOURS,KYTC,1,244589126D88,,POINT (-85.59368160940477 38.21331369365384)
708,709,MPW011008,SIG011008,FEGENBUSH,BURNT PINE,M,,,FEGENBUSH @ BURNT PINE,24 HOURS,METRO,1,2,,POINT (-85.63991770002619 38.17173852254924)
709,710,MPW010731,SIG010731,I 265 RAMP,SMYRNA,S,I-265,13.540000000000001,I 265 RAMP @ SMYRNA,24 HOURS,KYTC,1,2785299966026,,POINT (-85.64344579111275 38.11943711290291)
710,711,MPW010715,SIG010715,I 265 RAMP,SMYRNA,S,I-265,13.540000000000001,I 265 RAMP @ SMYRNA,24 HOURS,KYTC,1,2785199966026,,POINT (-85.6436305082034 38.116880358456065)
711,712,MPW004519,SIG004519,NEW CUT,OUTER,S,KY-1065,1.03,NEW CUT @ OUTER,24 HOURS,KYTC,1,277544553481,,POINT (-85.77612583984377 38.126393934909885)
712,713,MPW017873,SIG017873,GREEN MEADOWS,HIKES,M,,,GREEN MEADOWS @ HIKES,24 HOURS,METRO,1,37982712293,,POINT (-85.65849443683162 38.20002725923416)
713,714,MPW017881,SIG017881,BUECHEL BANK,COTTAGEMEADOW,M,,,BUECHEL BANK @ COTTAGEMEADOW,24 HOURS,METRO,1,2,,POINT (-85.64901580349422 38.177940360931615)
714,715,MPW008865,SIG008865,GARDEN,LEXINGTON,S,US-60,9.225,GARDEN @ LEXINGTON,24 HOURS,KYTC,1,152242470383,,POINT (-85.68060038319953 38.24866367548314)
715,716,MPW003155,SIG003155,DIXIE,RALPH,S,US-31W,16.41,DIXIE @ RALPH,24 HOURS,KYTC,1,152801612539,,POINT (-85.79947111600143 38.20603211398308)
716,717,MPW007121,SIG007121,MELLWOOD,SPRING,S,US-42,0.587,MELLWOOD @ SPRING,24 HOURS,KYTC,1,155094326609,,POINT (-85.72224006786665 38.25550315043555)
717,718,MPW006668,SIG006668,CAMPBELL,MARKET,S,US 31W,16.825,CAMPBELL @ MARKET,24 HOURS,KYTC,1,155250924421,,POINT (-85.73602332403824 38.252972051136865)
718,719,MPW005264,SIG005264,BROADWAY,9TH,S,US 150,1.929,BROADWAY @ 9TH,24 HOURS,KYTC,1,155520702456,,POINT (-85.76651430643032 38.24687417201359)
719,720,MPW005672,SIG005672,CHESTNUT,5TH,M,,,CHESTNUT @ 5TH,24 HOURS,METRO,1,156191114220,,POINT (-85.75953092603096 38.24913462751588)
720,721,MPW007959,SIG007959,EWING,FRANKFORT,S,US-60,1.12,EWING @ FRANKFORT,24 HOURS,KYTC,1,156581994232,,POINT (-85.69988229083337 38.25375465735058)
721,722,MPW005768,SIG005768,BRANDEIS,BROOK,M,,,BRANDEIS @ BROOK,24 HOURS,METRO,1,157680647070,,POINT (-85.75667008305798 38.22005704325434)
722,723,MPW005546,SIG005546,BRANDEIS,3RD,S,KY-1020,10.235000000000001,BRANDEIS @ 3RD,24 HOURS,KYTC,1,157690648643,,POINT (-85.76142183325592 38.21929683623454)
723,724,MPW007145,SIG007145,BARDSTOWN,GRINSTEAD,S,US-31E,15.423,BARDSTOWN @ GRINSTEAD,24 HOURS,KYTC,1,160420384266,,POINT (-85.72098497707896 38.238419115540076)
724,725,MPW007105,SIG007105,BAXTER,GRINSTEAD,S,KY-1703,5.487,BAXTER @ GRINSTEAD,24 HOURS,KYTC,1,160460417266,,POINT (-85.72236948604176 38.23779334740647)
725,726,MPW007315,SIG007315,BARDSTOWN,LONGEST,S,US-31E,15.06,BARDSTOWN @ LONGEST,24 HOURS,KYTC,1,160670384393,,POINT (-85.71551490976545 38.235414205920016)
726,727,MPW017871,SIG017871,BARDSTOWN,LONGEST,S,US-31E,15.119000000000002,BARDSTOWN @ LONGEST,24 HOURS,KYTC,1,160670384393,,POINT (-85.71640985892414 38.235901039335815)
727,728,MPW007318,SIG007318,BAXTER,EASTERN,S,US-60,6.44,BAXTER @ EASTERN,24 HOURS,KYTC,1,161180417183,,POINT (-85.71529284126802 38.22893644387573)
728,729,MPW005920,SIG005920,FLOYD,WOODBINE,M,,,FLOYD @ WOODBINE,24 HOURS,METRO,1,161432254726,,POINT (-85.75253239493262 38.22926233616076)
729,730,MPW006371,SIG006371,BURNETT,SHELBY,M,,,BURNETT @ SHELBY,24 HOURS,METRO,1,161870774593,,POINT (-85.74226583969293 38.224794002374104)
730,731,MPW006115,SIG006115,BRANDEIS,PRESTON,S,KY-61,10.652000000000001,BRANDEIS @ PRESTON,24 HOURS,KYTC,1,162190647514,,POINT (-85.74793982586715 38.21975297156155)
