X,Y,OBJECTID,UNITID,SIGID,MAINSTREET,CROSSSTREET,OWNER2,ROUTE,MILEPOINT,DESCRIPTION,TIMES,OWNER,TYPE,INTID,ATMSID
-85.7647199101029,38.1711457926272,821,MPW005292,SIG005292,SOUTHLAND,SOUTHSIDE,S,KY-1020,6.975,SOUTHLAND @ SOUTHSIDE,24 HOURS,KYTC,1, 1854560576068,
-85.7065817155142,38.1687640555731,822,MPW007639,SIG007639,INDIAN,PRESTON,S,KY-61,6.34,INDIAN @ PRESTON,24 HOURS,KYTC,1, 1862231495144,
-85.7538139632808,38.139271631228,823,MPW005809,SIG005809,NATIONAL,PATRICK HENRY,S,KY-1020,4.61,NATIONAL @ PATRICK HENRY,24 HOURS,KYTC,1, 1915345354696,
-85.7371124399381,38.1299521486613,824,MPW006526,SIG006526,GRADE,OUTER,S,KY-1065,3.19,GRADE @ OUTER,24 HOURS,KYTC,1, 1943725944815,
-85.6745217710657,38.10869278644,825,MPW009028,SIG009028,PRESTON,I 265 RAMP,S,KY-61,1.79,PRESTON @ I 265 RAMP,24 HOURS,KYTC,1, 1984051449996,
-85.7834315238713,38.1895509351831,826,MPW004107,SIG004107,TAYLOR,I 264 RAMP,S,KY-1865,5.731,TAYLOR @ I 264 RAMP,24 HOURS,KYTC,1, 2008763929995,
-85.7503526766883,38.1831879582788,827,MPW005991,SIG005991,CRITTENDEN,NEVADA,M,,,CRITTENDEN @ NEVADA,24 HOURS,METRO,1, 2015313424548,
-85.7819466845038,38.126663122155,828,MPW017863,SIG017863,CANDLEWORTH,OUTER,S,KY-1065,6.85,CANDLEWORTH @ OUTER,24 HOURS,KYTC,1, 2053213824815,
-85.725139777351,38.1588550498996,829,MPW006992,SIG006992,GRADE,WORLDPORT,M,,,GRADE @ WORLDPORT,24 HOURS,METRO,1,206552594F275,
-85.8053282506889,38.193618878733,830,MPW002889,SIG002889,PARK,7TH STREET,S,US-60A,0,PARK @ 7TH STREET,24 HOURS,KYTC,1, 2092849655900,
-85.7484753594621,38.1236385968603,831,MPW006029,SIG006029,GLENGARRY,NATIONAL,S,KY-1020,3.45,GLENGARRY @ NATIONAL,24 HOURS,KYTC,1, 2111325564535,
-85.8476904566373,38.1578358620362,832,MPW001400,SIG001400,LOWER HUNTERS,UPPER HUNTERS,M,,,LOWER HUNTERS @ UPPER HUNTERS,24 HOURS,METRO,1, 2180739696709,
-85.8395884930818,38.1434911020982,833,MPW001574,SIG001574,GREENWOOD,ST ANDREWS CHURCH,S, US-31W,11.52,GREENWOOD @ ST ANDREWS CHURCH,24 HOURS,KYTC,1, 2294626535780,
-85.8696549926643,38.1029709028575,834,MPW000622,SIG000622,ASHBY,BARRETT,S, US-31W,8.27,ASHBY @ BARRETT,24 HOURS,KYTC,1, 2310201870396,
-85.8519960646138,38.1440347890491,835,MPW001254,SIG001254,GREENWOOD,SKY BLUE,S,KY-1931,2.45,GREENWOOD @ SKY BLUE,24 HOURS,KYTC,1, 2350426536012,
-85.8712449709051,38.1746068349223,836,MPW000624,SIG000624,GREENBELT,RAGGARD,S,KY-1934,6.617,GREENBELT @ RAGGARD,24 HOURS,KYTC,1, 275218324E664,
-85.8115258423038,38.2323582624632,837,MPW002673,SIG002673,LOUIS COLEMAN JR,SOUTHERN,M,,,LOUIS COLEMAN JR @ SOUTHERN,24 HOURS,METRO,1,28192E9856282,
-85.5232785460581,38.2448226343766,838,MPW018009,SIG018009,WOODED FALLS,OLD SHELBYVILLE,S,US-60,10.92,WOODED FALLS @ OLD SHELBYVILLE,24 HOURS,KYTC,1,   31628954763,
-85.5250490665711,38.2880376487381,839,MPW018007,SIG018007,WYNMEADE,WINCHESTER ACRES,M,,,WYNMEADE @ WINCHESTER ACRES,24 HOURS,METRO,1,  1062D572D638,
-85.7311981915335,38.2402861023121,840,MPW006842,SIG006842,BARRET,BRECKINRIDGE,M,,,BARRET @ BRECKINRIDGE,24 HOURS,METRO,1, 1512803950657,
-85.7115837138719,38.2307598286043,841,MPW007475,SIG007475,EASTERN,NORRIS,S,US-60,6.677,EASTERN @ NORRIS,24 HOURS,KYTC,1, 1518218354591,
-85.7061337902667,38.2536157784161,842,MPW007685,SIG007685,CLIFTON,FRANKFORT,S,US-60,0.778,CLIFTON @ FRANKFORT,24 HOURS,KYTC,1, 1520111852323,
-85.7080402776065,38.199235323138,843,MPW007603,SIG007603,POPLAR LEVEL,TAYLOR,S,KY-864,11.568,POPLAR LEVEL @ TAYLOR,24 HOURS,KYTC,1, 1541351236391,
-85.7362656900778,38.251583255182,844,MPW006655,SIG006655,CAMPBELL,JEFFERSON,M,,,CAMPBELL @ JEFFERSON,24 HOURS,METRO,1, 1553209243326,
-85.7683267219946,38.2471123868248,845,MPW005145,SIG005145,BROADWAY,10TH,S,US 150,1.83,BROADWAY @ 10TH,24 HOURS,KYTC,1, 1554907026413,
-85.7630776115559,38.2481968448912,846,MPW005494,SIG005494,MAGAZINE,7TH,M,,,MAGAZINE @ 7TH,24 HOURS,METRO,1, 1555441285899,
-85.7550519834368,38.2458444362537,847,MPW005836,SIG005836,BROADWAY,2ND,S,US 150,2.559,BROADWAY @ 2ND,24 HOURS,KYTC,1, 1556307025872,
-85.7470787672138,38.2124722103827,848,MPW006139,SIG006139,BRADLEY,EASTERN,S,US-60,4.281,BRADLEY @ EASTERN,24 HOURS,KYTC,1, 1574506371835,
-85.76118180063,38.2205603624917,849,MPW005559,SIG005559,CARDINAL,3RD,S,KY-1020,10.323,CARDINAL @ 3RD,24 HOURS,KYTC,1, 1576533446438,
-85.7597905443541,38.2204111775829,850,MPW005626,SIG005626,CARDINAL,2ND,S,KY-1020,10.32,CARDINAL @ 2ND,24 HOURS,KYTC,1, 1576633445872,
-85.8064559050331,38.1945188253053,851,MPW002839,SIG002839,DIXIE,PARK,S, US-31W,15.55,DIXIE @ PARK,24 HOURS,KYTC,1, 1580316124965,
-85.7140836106097,38.2361808869748,852,MPW007380,SIG007380,CHEROKEE,LONGEST,M,,,CHEROKEE @ LONGEST,24 HOURS,METRO,1, 1606011003932,
-85.7483254843401,38.2407334197885,853,MPW006117,SIG006117,BRECKINRIDGE,PRESTON,S,KY-61,12.05,BRECKINRIDGE @ PRESTON,24 HOURS,KYTC,1, 1628806575143,
-85.7530132297299,38.2382199774869,854,MPW005905,SIG005905,BROOK,KENTUCKY,M,,,BROOK @ KENTUCKY,24 HOURS,METRO,1, 1633507073531,
-85.7400527897801,38.2534105955312,855,MPW006506,SIG006506,CLAY,MARKET,S,US 31W,17.047,CLAY @ MARKET,24 HOURS,KYTC,1, 1638411674213,
-85.7463421883186,38.2526842784203,856,MPW006201,SIG006201,JEFFERSON,PRESTON,S,KY-61,12.885,JEFFERSON @ PRESTON,24 HOURS,KYTC,1, 1638733265143,
-85.7407669479042,38.24932604699,857,MPW006468,SIG006468,CLAY,MUHAMMAD ALI,M,,,CLAY @ MUHAMMAD ALI,24 HOURS,METRO,1, 1641511677011,
-85.7544469869669,38.2497042024296,858,MPW005860,SIG005860,GUTHRIE,2ND,S,KY-1020,12.634,GUTHRIE @ 2ND,24 HOURS,KYTC,1, 1642326735872,
-85.74518012611,38.2475826733586,859,MPW006254,SIG006254,CHESTNUT,JACKSON,S,KY-61,12.458,CHESTNUT @ JACKSON,24 HOURS,KYTC,1, 1643811133292,
-85.7371089997912,38.2466958314874,860,MPW006620,SIG006620,CAMPBELL,CHESTNUT,M,,,CAMPBELL @ CHESTNUT,24 HOURS,METRO,1, 1645209241113,
-85.7456009093798,38.2451433153416,861,MPW006230,SIG006230,BROADWAY,JACKSON,S,US 150,3.074,BROADWAY @ JACKSON,24 HOURS,KYTC,1, 1647607013292,
-85.7102744533241,38.2547427808335,862,MPW007564,SIG007564,BELLAIRE,FRANKFORT,S,US-60,0.532,BELLAIRE @ FRANKFORT,24 HOURS,KYTC,1, 1659704702323,
-85.7562452961773,38.2586967493374,863,MPW005811,SIG005811,4TH,RIVER,S,KY-3077,0.625,4TH @ RIVER,24 HOURS,KYTC,1, 1669723045529,
-85.7600848962286,38.25559432046,864,MPW005653,SIG005653,MARKET,6TH,S,US 31W,21.655,MARKET @ 6TH,24 HOURS,KYTC,1, 1671542146009,
-85.761981033256,38.2543866170473,865,MPW005551,SIG005551,JEFFERSON,7TH,M,,,JEFFERSON @ 7TH,24 HOURS,METRO,1, 1672333275899,
-85.760325965402,38.2542066874842,866,MPW005635,SIG005635,JEFFERSON,6TH,M,,,JEFFERSON @ 6TH,24 HOURS,METRO,1, 1672433276009,
-85.7518089796182,38.2546889897957,867,MPW005994,SIG005994,1ST,MARKET,S,US 31W,17.669,1ST @ MARKET,24 HOURS,KYTC,1, 1676322234213,
-85.7522005840999,38.2525314857257,868,MPW005948,SIG005948,1ST,LIBERTY,M,,,1ST @ LIBERTY,24 HOURS,METRO,1, 1677322233844,
-85.7694597431906,38.2502281812263,869,MPW005087,SIG005087,CHESTNUT,11TH,M,,,CHESTNUT @ 11TH,24 HOURS,METRO,1, 1683511141899,
-85.7903740791487,38.2712175947703,870,MPW003804,SIG003804,PORTLAND,26TH,S,KY-3064,0.445,PORTLAND @ 26TH,24 HOURS,KYTC,1, 1708451296583,
-85.8213708993251,38.2503492157856,871,MPW002210,SIG002210,BROADWAY,CECIL,M,,,BROADWAY @ CECIL,24 HOURS,METRO,1, 1734207021026,
-85.8208657961424,38.2469025765586,872,MPW002223,SIG002223,CECIL,GARLAND,M,,,CECIL @ GARLAND,24 HOURS,METRO,1, 1736610262482,
-85.7649629181214,38.1939734229205,873,MPW005319,SIG005319,3RD,WHITNEY,M,,,3RD @ WHITNEY,24 HOURS,METRO,1, 1779964387175,
-85.7667270286058,38.1911473425909,874,MPW005176,SIG005176,FLORENCE,SOUTHERN,S,KY-1020,8.484,FLORENCE @ SOUTHERN,24 HOURS,KYTC,1, 1793022506052,
-85.8099819127408,38.1894041779008,875,MPW002691,SIG002691,DIXIE,GARRS,S, US-31W,15.12,DIXIE @ GARRS,24 HOURS,KYTC,1, 1798616122488,
-85.801232926941,38.1892261732276,876,MPW003055,SIG003055,CRUMS,MANSLICK,S,KY-1931,7.919,CRUMS @ MANSLICK,24 HOURS,KYTC,1, 1799513584163,
-85.7648814947348,38.1891693660976,877,MPW005313,SIG005313,SOUTHERN HEIGHTS,3RD,S,I-264,0.087,SOUTHERN HEIGHTS @ 3RD,24 HOURS,KYTC,1, 1801260516438,
-85.7184609825157,38.1800975486793,878,MPW007188,SIG007188,GRADE,PRESTON,S,KY-61,7.358,GRADE @ PRESTON,24 HOURS,KYTC,1, 1824225945144,
-85.6941992272307,38.1803955727297,879,MPW008187,SIG008187,POPLAR LEVEL,POPLAR PLACE,S,KY-864,10.08,POPLAR LEVEL @ POPLAR PLACE,24 HOURS,KYTC,1, 182435123D568,
-85.691935954013,38.1791903630664,880,MPW008306,SIG008306,POPLAR LEVEL,PRODUCE,S,KY-864,9.87,POPLAR LEVEL @ PRODUCE,24 HOURS,KYTC,1,2,
-85.7670535183585,38.1769250466879,881,MPW005130,SIG005130,3RD,TENNY,S,KY-1020,7.47,3RD @ TENNY,24 HOURS,KYTC,1, 1831164386602,
