intid,main_street,cross_street,longitude,latitude,description
1776925949998,GRADE,I 65 RAMP,-85.7205039090928,38.1778683268374,GRADE @ I 65 RAMP
620,FERN VALLEY,GEIL,-85.6797391860236,38.1574162835337,FERN VALLEY @ GEIL
1816505405123,BISHOP,POPLAR LEVEL,-85.6998736051861,38.1847163775069,BISHOP @ POPLAR LEVEL
1837300747290,ALLMOND,WOODLAWN,-85.7589937570316,38.1807898103782,ALLMOND @ WOODLAWN
1857442224553,MARRET,NEW CUT,-85.7812421264612,38.1698241548528,MARRET @ NEW CUT
1920948155144,OUTER,PRESTON,-85.6867336990896,38.1384268376544,OUTER @ PRESTON
1925144064815,MINOR,OUTER,-85.7134097012275,38.1365536716277,MINOR @ OUTER
1948248156440,OUTER,3RD STREET,-85.7947659140874,38.1275875633263,OUTER @ 3RD STREET
1969541655144,MANSLICK,PRESTON,-85.6772525659878,38.1180663771655,MANSLICK @ PRESTON
201544548E154,NEVADA,OLD PARK,-85.7525918147603,38.1828138718763,NEVADA @ OLD PARK
2027241634939,MANSLICK,PALATKA,-85.7910991489925,38.152862877387,MANSLICK @ PALATKA
2044151236313,POPLAR LEVEL,SANITA,-85.7060659327916,38.1926681425206,POPLAR LEVEL @ SANITA
2064831606701,INDUSTRIAL,ULRICH,-85.7080627326435,38.1570080730251,INDUSTRIAL @ ULRICH
2065321909998,FERN VALLEY,I 65 RAMP,-85.7168936260551,38.1575775522865,FERN VALLEY @ I 65 RAMP
206562190F275,FERN VALLEY,WORLDPORT,-85.725734176337,38.1576941537395,FERN VALLEY @ WORLDPORT
2091832354163,MANSLICK RD,MANSLICK BLVD,-85.8008236697088,38.1916751468051,MANSLICK RD @ MANSLICK BLVD
2101213424954,CRITTENDEN,PARK,-85.7509333597399,38.1922691031614,CRITTENDEN @ PARK
2106045354815,NATIONAL,OUTER,-85.7489666613477,38.1269612195284,NATIONAL @ OUTER
2114651445810,PRESTON,ST RITA,-85.6809502311533,38.1279173472898,PRESTON @ ST RITA
2135009343800,CANE RUN,LEES,-85.8552899387288,38.1838435897602,CANE RUN @ LEES
2161126216709,GRASTON,UPPER HUNTERS,-85.8353176739924,38.1682877681414,GRASTON @ UPPER HUNTERS
2169039696641,LOWER HUNTERS,TERRY,-85.865547920733,38.1648102203728,LOWER HUNTERS @ TERRY
2173616126527,DIXIE,TRENT,-85.8317386016343,38.1620600696279,DIXIE @ TRENT
2215166417130,TERRY,PAGES,-85.8742374770251,38.1310296399151,TERRY @ PAGES
2282009343355,CANE RUN,JOHNSONTOWN,-85.8949249167372,38.1164498806634,CANE RUN @ JOHNSONTOWN
2299601705780,ARNOLDTOWN,ST ANDREWS CHURCH,-85.8240888937396,38.1495453275036,ARNOLDTOWN @ ST ANDREWS CHURCH
2326305141612,BETHANY,DIXIE,-85.8738995520518,38.0956621414025,BETHANY @ DIXIE
2333116127059,DIXIE,WATSON,-85.8906319021238,38.0561824443344,DIXIE @ WATSON
2366116122455,DIXIE,GAGEL,-85.8215628374888,38.1758495809364,DIXIE @ GAGEL
2497913422594,CRITTENDEN,GRADE,-85.7338948874207,38.1532781461304,CRITTENDEN @ GRADE
