,longitude,latitude,row_ID,unit_ID,sig_ID,main_street,cross_street,route,milepoint,times,owner,type,int_ID,ATMSID
461,-85.7375589795418,38.2069016243661,462,MPW006572,SIG006572,LOCUST,PRESTON,KY-61,9.476,24 HOURS,KYTC,1, 1459239135144,
462,-85.7349473788877,38.2028425224018,463,MPW006670,SIG006670,AUDUBON,PRESTON,KY-61,9.177,24 HOURS,KYTC,1, 1474602195144,
463,-85.8102712331026,38.2389923248619,464,MPW002732,SIG002732,LOUIS COLEMAN JR,VIRGINIA,,,24 HOURS,METRO,1,28201E9856877,
464,-85.6159180661516,38.345459495988,465,MPW012554,SIG012554,U S HIGHWAY 42,RIVER,US-42,10.55,24 HOURS,KYTC,1,  135767128199,
465,-85.6571171892462,38.2530305300675,466,MPW010103,SIG010103,FRANKFORT,LEXINGTON,US-60,3.46,24 HOURS,KYTC,1,  252723233838,
466,-85.6528274319053,38.2705267675682,467,MPW010365,SIG010365,BROWNSBORO,HUBBARDS,US-42,4.671,24 HOURS,KYTC,1,  214107243007,
467,-85.6151532558506,38.2495661536558,468,MPW012477,SIG012477,NEW LA GRANGE,SHELBYVILLE,US-60,5.77,24 HOURS,KYTC,1,  266446255940,
468,-85.6500690432442,38.2052741722934,469,MPW010446,SIG010446,GOLDSMITH,HIKES,,,24 HOURS,METRO,1,  365725852930,
469,-85.6370061928152,38.2301089695574,470,MPW011236,SIG011236,BRECKENRIDGE,I 264 RAMP,KY-1932,3.73,24 HOURS,KYTC,1,  518506569995,
470,-85.5595510159545,38.199316650443,471,MPW015634,SIG015634,WATTERSON,RUCKRIEGEL,KY-1819,10.16,24 HOURS,KYTC,1,  543173558881,
471,-85.5105451886231,38.1885039787132,472,MPW017034,SIG017034,TAYLORSVILLE,I 265 RAMP,KY-155,6.21,24 HOURS,KYTC,1,  815663949996,
472,-85.5519507889038,38.1882887109935,473,MPW015919,SIG015919,CHENOWETH RUN,TAYLORSVILLE,KY-155,8.46,24 HOURS,KYTC,1,  852410956394,
473,-85.6310074790383,38.143396001879,474,MPW011449,SIG011449,BLAZIER,PEPPERMILL,KY-22,0.0,24 HOURS,KYTC,1,  943205535032,
474,-85.6134405582193,38.1376493431822,475,MPW012443,SIG012443,BEULAH CHURCH,FEGENBUSH,KY-1065,4.25,24 HOURS,KYTC,1,  952105182163,
475,-85.6212889048964,38.1374329551251,476,MPW011958,SIG011958,APPLE VALLEY,OUTER,KY-1065,9.66,24 HOURS,KYTC,1,  952908904815,
476,-85.5482005911885,38.1874258833458,477,MPW016039,SIG016039,TAYLORSVILLE,BLANKENBAKER,KY-155,8.244,24 HOURS,KYTC,1, 1055963947624,
477,-85.57890941815,38.1447932800055,478,MPW014474,SIG014474,RIDGESIDE,BLACK WILLOW,KY-1447,3.04,24 HOURS,KYTC,1, 11343D281D284,
478,-85.6576383358741,38.1389766864104,479,MPW009967,SIG009967,OUTER,SHEPHERDSVILLE,KY-1065,7.66,24 HOURS,KYTC,1, 1159448155945,
479,-85.5689743658221,38.1902019193585,480,MPW015101,SIG015101,BILLTOWN,RUCKRIEGEL,KY-1819,8.89,24 HOURS,KYTC,1, 1169401888881,
480,-85.5654614034723,38.1942828967409,481,MPW015307,SIG015307,TAYLORSVILLE,WATTERSON,KY-155,9.35,24 HOURS,KYTC,1, 1169863947355,
481,-85.7007934668059,38.2467147538147,482,MPW007891,SIG007891,GRINSTEAD,I 64 RAMP,I-64,8.071,24 HOURS,KYTC,1, 1213026639997,
